model,feature,importance
XGBoost,city_rs,0.21811295
XGBoost,baths_rs,0.16699119
XGBoost,median_ppsqft_rs,0.1224819
XGBoost,total_rooms_rs,0.09924697
XGBoost,luxury_score_rs,0.04869099
XGBoost,view_flag_rs,0.03678251
XGBoost,state_rs,0.03207532
XGBoost,fullBaths_rs,0.022382252
XGBoost,lot_size_sqft_rs,0.017093504
XGBoost,nlp_dim_3_rs,0.012601529
XGBoost,beds_rs,0.011594161
XGBoost,nlp_dim_2_rs,0.011362012
XGBoost,bath_bed_ratio_rs,0.01050331
XGBoost,isNewConstruction_rs,0.010122415
XGBoost,geo_cluster_rs,0.009953798
XGBoost,room_density_score_rs,0.009480995
XGBoost,renovation_flag_rs,0.009042537
XGBoost,sqft_range_rs,0.008938034
XGBoost,geo_desirability_rs,0.008827912
XGBoost,p25_sqft_rs,0.008506795
XGBoost,amenities_score_rs,0.008466752
XGBoost,nlp_dim_8_rs,0.007727563
XGBoost,nlp_dim_7_rs,0.007043413
XGBoost,nlp_dim_4_rs,0.0065594395
XGBoost,nlp_dim_9_rs,0.006285146
XGBoost,nlp_dim_15_rs,0.0060825883
XGBoost,median_sqft_rs,0.0055948924
XGBoost,nlp_dim_11_rs,0.005402308
XGBoost,nlp_dim_1_rs,0.005354853
XGBoost,isHot_rs,0.00523261
XGBoost,nlp_dim_13_rs,0.0048888135
XGBoost,nlp_dim_5_rs,0.00488681
XGBoost,nlp_dim_6_rs,0.0048658215
XGBoost,nlp_dim_10_rs,0.0048230872
XGBoost,nlp_dim_20_rs,0.0048096287
XGBoost,condition_flag_rs,0.004543734
XGBoost,nlp_dim_12_rs,0.004437502
XGBoost,nlp_dim_17_rs,0.004424878
XGBoost,nlp_dim_18_rs,0.004389904
XGBoost,p75_sqft_rs,0.0042779637
XGBoost,nlp_dim_14_rs,0.0041897325
XGBoost,sentiment_score_rs,0.0038041708
XGBoost,nlp_dim_16_rs,0.0035656386
XGBoost,nlp_dim_19_rs,0.0035516978
XGBoost,hoa_value_rs,0.0
